gene_name,gene_type,n_regions,n_samples,total_raw_reads,total_dedup_molecules,reads_per_molecule
CCND1,protein_coding,3,3,625935,90459,6.9195436606639475
AXL,protein_coding,6,3,417265,77404,5.390742080512635
GNAS,protein_coding,2,3,299421,69477,4.309642039811736
MET,protein_coding,5,3,290156,53704,5.402875018620587
GPI,protein_coding,1,3,350786,50326,6.970273814727974
RP11-618P17.4,protein_coding,1,3,350786,50326,6.970273814727974
KRT7,protein_coding,2,3,238169,45779,5.202581969898862
IDH2,protein_coding,1,3,147318,29072,5.067350027517887
VCP,protein_coding,1,3,137153,25640,5.34918096723869
RAB7A,protein_coding,1,3,155699,24321,6.401833806175733
BRAF,protein_coding,2,3,63729,17127,3.720966894377299
CHMP2A,protein_coding,1,3,51797,12647,4.0955957934688065
RAF1,protein_coding,1,3,60178,12280,4.9004885993485345
HRAS,protein_coding,1,3,67942,10914,6.225215319772769
MAP2K1,protein_coding,1,3,38143,10593,3.600774096101199
EGFR,protein_coding,1,3,55731,9714,5.737183446571958
CTD-2195B23.3,antisense,1,3,42956,9036,4.753873395307658
FGFR1,protein_coding,1,3,36929,8911,4.144203793064752
