gene_name,gene_type,n_regions,n_samples,total_raw_reads,total_dedup_molecules,reads_per_molecule,raw_rank,dedup_rank,rank_shift
CCND1,protein_coding,3,3,625935,90459,6.9195436606639475,1.0,1.0,0.0
AXL,protein_coding,6,3,417265,77404,5.390742080512635,2.0,2.0,0.0
GNAS,protein_coding,2,3,299421,69477,4.309642039811736,5.0,3.0,2.0
MET,protein_coding,5,3,290156,53704,5.402875018620587,6.0,4.0,2.0
GPI,protein_coding,1,3,350786,50326,6.970273814727974,3.0,5.0,-2.0
RP11-618P17.4,protein_coding,1,3,350786,50326,6.970273814727974,3.0,5.0,-2.0
KRT7,protein_coding,2,3,238169,45779,5.202581969898862,7.0,7.0,0.0
IDH2,protein_coding,1,3,147318,29072,5.067350027517887,9.0,8.0,1.0
VCP,protein_coding,1,3,137153,25640,5.34918096723869,10.0,9.0,1.0
RAB7A,protein_coding,1,3,155699,24321,6.401833806175733,8.0,10.0,-2.0
BRAF,protein_coding,2,3,63729,17127,3.720966894377299,12.0,11.0,1.0
CHMP2A,protein_coding,1,3,51797,12647,4.0955957934688065,15.0,12.0,3.0
RAF1,protein_coding,1,3,60178,12280,4.9004885993485345,13.0,13.0,0.0
HRAS,protein_coding,1,3,67942,10914,6.225215319772769,11.0,14.0,-3.0
MAP2K1,protein_coding,1,3,38143,10593,3.600774096101199,17.0,15.0,2.0
EGFR,protein_coding,1,3,55731,9714,5.737183446571958,14.0,16.0,-2.0
CTD-2195B23.3,antisense,1,3,42956,9036,4.753873395307658,16.0,17.0,-1.0
FGFR1,protein_coding,1,3,36929,8911,4.144203793064752,18.0,18.0,0.0
