sample,gene_name,gene_type,total_raw_reads,total_dedup_molecules,reads_per_molecule
sample1,CCND1,protein_coding,251290,84445,2.975783054058855
sample1,AXL,protein_coding,187483,74067,2.5312622355434944
sample1,MET,protein_coding,114528,43685,2.6216779214833466
sample1,KRT7,protein_coding,115902,43223,2.6814890220484466
sample1,GPI,protein_coding,114357,30226,3.7833983987295707
sample1,RP11-618P17.4,protein_coding,114357,30226,3.7833983987295707
sample1,GNAS,protein_coding,55613,22082,2.518476587265646
sample1,RAB7A,protein_coding,39575,13170,3.0049354593773727
sample1,VCP,protein_coding,30903,11337,2.725853400370468
sample1,EGFR,protein_coding,25219,9305,2.710263299301451
sample1,CTD-2195B23.3,antisense,20585,8732,2.357420980302336
sample2,GNAS,protein_coding,139270,35092,3.9687108172802916
sample2,IDH2,protein_coding,125351,24084,5.204741737252948
sample2,BRAF,protein_coding,79578,22112,3.5988603473227205
sample2,GPI,protein_coding,108858,18991,5.7320836185561586
sample2,RP11-618P17.4,protein_coding,108858,18991,5.7320836185561586
sample2,VCP,protein_coding,74972,17512,4.2811786203746
sample2,RAB7A,protein_coding,56228,10657,5.27615651684339
sample2,RAF1,protein_coding,46367,10582,4.381685881685882
sample2,FGFR1,protein_coding,36890,9373,3.9357729648991784
sample2,CHMP2A,protein_coding,21137,6066,3.4845037916254533
sample2,MAP2K1,protein_coding,15961,5280,3.0229166666666667
sample2,NTRK1,protein_coding,22847,4301,5.312020460358056
sample2,HRAS,protein_coding,17203,4167,4.128389728821694
sample2,NRAS,protein_coding,11422,3641,3.1370502609173303
sample2,ALK,protein_coding,18321,3448,5.313515081206496
sample3,CCND1,protein_coding,373488,5583,66.89736700698549
sample3,AXL,protein_coding,227972,2773,82.21132347637938
sample3,KRT7,protein_coding,122237,2542,48.086939417781274
sample3,GNAS,protein_coding,83946,1449,57.93374741200828
sample3,MET,protein_coding,117996,1116,105.73118279569893
sample3,GPI,protein_coding,127571,1109,115.03246167718666
sample3,RP11-618P17.4,protein_coding,127571,1109,115.03246167718666
sample3,RAB7A,protein_coding,59896,494,121.24696356275304
sample3,VCP,protein_coding,42118,418,100.76076555023923
sample3,EGFR,protein_coding,30350,347,87.46397694524495
sample3,CTD-2195B23.3,antisense,22349,299,74.74581939799332
sample3,HRAS,protein_coding,33188,277,119.81227436823104
