region,n_samples,total_raw_reads,total_dedup_molecules,gene_name,gene_type,gene_id
chr20:57484000-57484999,3,278829,58623,GNAS,protein_coding,ENSG00000087460.19
chr19:34890000-34890999,3,350786,50326,GPI,protein_coding,ENSG00000105220.10
chr19:34890000-34890999,3,350786,50326,RP11-618P17.4,protein_coding,ENSG00000266953.2
chr11:69456000-69456999,3,308751,40638,CCND1,protein_coding,ENSG00000110092.3
chr11:69457000-69457999,3,234079,34212,CCND1,protein_coding,ENSG00000110092.3
chr12:52636000-52636999,2,179067,31908,KRT7,protein_coding,ENSG00000135480.10
chr15:90631000-90631999,3,147318,29072,IDH2,protein_coding,ENSG00000182054.5
chr9:35059000-35059999,3,137153,25640,VCP,protein_coding,ENSG00000165280.11
chr3:128525000-128525999,3,155699,24321,RAB7A,protein_coding,ENSG00000075785.8
chr19:41765000-41765999,3,97333,17326,AXL,protein_coding,ENSG00000167601.7
chr11:69458000-69458999,3,83105,15609,CCND1,protein_coding,ENSG00000110092.3
chr7:116380000-116380999,3,77987,15405,MET,protein_coding,ENSG00000105976.10
chr19:41754000-41754999,3,75523,15023,AXL,protein_coding,ENSG00000167601.7
chr19:41763000-41763999,3,89426,14521,AXL,protein_coding,ENSG00000167601.7
chr12:52629000-52629999,3,59102,13871,KRT7,protein_coding,ENSG00000135480.10
chr19:59063000-59063999,3,51797,12647,CHMP2A,protein_coding,ENSG00000130724.4
chr3:12641000-12641999,3,60178,12280,RAF1,protein_coding,ENSG00000132155.7
chr11:533000-533999,3,67942,10914,HRAS,protein_coding,ENSG00000174775.12
chr20:57480000-57480999,3,20592,10854,GNAS,protein_coding,ENSG00000087460.19
chr19:41762000-41762999,3,63034,10837,AXL,protein_coding,ENSG00000167601.7
chr19:41758000-41758999,3,48993,10661,AXL,protein_coding,ENSG00000167601.7
chr15:66727000-66727999,3,38143,10593,MAP2K1,protein_coding,ENSG00000169032.5
chr7:116411000-116411999,3,77191,10204,MET,protein_coding,ENSG00000105976.10
chr7:116371000-116371999,3,40018,9884,MET,protein_coding,ENSG00000105976.10
chr7:116340000-116340999,3,41505,9853,MET,protein_coding,ENSG00000105976.10
chr7:55242000-55242999,3,55731,9714,EGFR,protein_coding,ENSG00000146648.11
chr19:41727000-41727999,3,42956,9036,AXL,protein_coding,ENSG00000167601.7
chr19:41727000-41727999,3,42956,9036,CTD-2195B23.3,antisense,ENSG00000269652.1
chr8:38271000-38271999,3,36929,8911,FGFR1,protein_coding,ENSG00000077782.15
chr7:140481000-140481999,3,30623,8681,BRAF,protein_coding,ENSG00000157764.8
chr7:140482000-140482999,3,33106,8446,BRAF,protein_coding,ENSG00000157764.8
chr7:116312000-116312999,3,53455,8358,MET,protein_coding,ENSG00000105976.10
