sample,chrom,bin,n_softclipped_reads,median_softclip,max_softclip,region
sample1,GL000220.1,113000,681,21.0,38,chrGL000220.1:113000
sample1,GL000220.1,157000,670,21.0,38,chrGL000220.1:157000
sample1,11,69456000,544,21.0,51,chr11:69456000
sample1,11,69457000,460,21.0,51,chr11:69457000
sample1,GL000220.1,109000,453,21.0,48,chrGL000220.1:109000
sample1,4,25665000,443,43.0,48,chr4:25665000
sample1,GL000220.1,153000,418,21.0,48,chrGL000220.1:153000
sample1,GL000220.1,110000,401,21.0,51,chrGL000220.1:110000
sample1,19,34890000,355,21.0,44,chr19:34890000
sample1,GL000220.1,154000,344,21.0,51,chrGL000220.1:154000
sample1,10,61665000,307,35.0,43,chr10:61665000
sample1,19,41754000,293,21.0,52,chr19:41754000
sample1,12,52636000,289,20.0,46,chr12:52636000
sample1,2,42522000,264,47.0,47,chr2:42522000
sample1,GL000220.1,117000,259,21.0,48,chrGL000220.1:117000
sample1,GL000220.1,115000,240,21.0,50,chrGL000220.1:115000
sample1,GL000220.1,158000,236,21.0,50,chrGL000220.1:158000
sample1,19,41758000,235,21.0,49,chr19:41758000
sample1,GL000220.1,114000,235,21.0,44,chrGL000220.1:114000
sample1,GL000220.1,159000,233,21.0,48,chrGL000220.1:159000
sample1,19,41765000,208,20.0,48,chr19:41765000
sample1,21,9827000,191,21.0,40,chr21:9827000
sample1,GL000220.1,161000,186,21.0,48,chrGL000220.1:161000
sample1,19,41727000,174,21.5,56,chr19:41727000
sample1,7,116340000,145,27.0,48,chr7:116340000
sample1,7,116335000,140,30.0,42,chr7:116335000
sample1,11,69458000,139,21.0,48,chr11:69458000
sample1,11,534000,136,21.0,50,chr11:534000
sample1,6,117650000,126,19.0,23,chr6:117650000
sample1,17,33478000,121,19.0,20,chr17:33478000
sample1,19,41762000,121,22.0,41,chr19:41762000
sample1,20,57484000,121,20.0,51,chr20:57484000
sample1,7,116411000,119,20.0,36,chr7:116411000
sample1,19,41763000,117,21.0,45,chr19:41763000
sample1,2,29446000,111,23.0,42,chr2:29446000
sample1,11,533000,99,19.0,41,chr11:533000
sample1,19,41745000,94,25.0,51,chr19:41745000
sample1,3,128525000,94,19.0,50,chr3:128525000
sample1,12,52629000,93,21.0,44,chr12:52629000
sample1,7,116312000,86,21.0,48,chr7:116312000
sample1,7,116415000,79,21.0,45,chr7:116415000
sample1,12,52639000,78,17.0,56,chr12:52639000
sample1,7,116380000,78,20.0,39,chr7:116380000
sample1,10,43612000,68,18.0,41,chr10:43612000
sample1,2,33141000,68,28.0,43,chr2:33141000
sample1,9,35059000,67,20.0,41,chr9:35059000
sample1,7,116409000,63,29.0,42,chr7:116409000
sample1,7,55242000,60,19.5,45,chr7:55242000
sample1,19,59063000,56,21.0,46,chr19:59063000
sample1,7,116381000,56,19.0,32,chr7:116381000
sample1,7,116435000,51,20.0,52,chr7:116435000
sample1,15,66727000,50,21.0,42,chr15:66727000
sample1,10,61638000,49,23.0,23,chr10:61638000
sample1,11,69462000,47,21.0,46,chr11:69462000
sample1,15,90631000,45,21.0,50,chr15:90631000
sample1,12,20704000,43,21.0,40,chr12:20704000
sample1,7,55241000,42,19.5,39,chr7:55241000
sample1,8,70602000,42,21.0,41,chr8:70602000
sample1,7,116371000,39,21.0,35,chr7:116371000
sample1,14,105246000,36,20.5,39,chr14:105246000
sample1,3,12641000,36,23.5,52,chr3:12641000
sample1,1,91852000,35,21.0,48,chr1:91852000
sample1,15,66729000,35,21.0,44,chr15:66729000
sample1,GL000220.1,116000,34,21.0,39,chrGL000220.1:116000
sample1,11,69455000,33,25.0,45,chr11:69455000
sample1,3,41266000,33,21.0,45,chr3:41266000
sample1,2,29445000,32,19.0,45,chr2:29445000
sample1,7,116339000,30,24.5,36,chr7:116339000
sample1,7,140477000,30,21.0,35,chr7:140477000
sample1,7,55249000,28,21.0,43,chr7:55249000
sample1,17,37880000,27,20.0,37,chr17:37880000
sample1,GL000220.1,160000,27,21.0,39,chrGL000220.1:160000
sample1,7,140482000,26,22.0,42,chr7:140482000
sample1,8,38271000,26,23.5,43,chr8:38271000
sample1,3,12645000,24,20.0,36,chr3:12645000
sample1,6,117642000,24,21.0,28,chr6:117642000
sample1,7,140494000,24,19.5,37,chr7:140494000
sample1,1,115256000,23,20.0,25,chr1:115256000
sample1,7,116417000,23,21.0,42,chr7:116417000
sample1,12,52635000,21,17.0,51,chr12:52635000
sample1,7,55259000,21,21.0,32,chr7:55259000
sample1,8,38277000,21,18.0,24,chr8:38277000
sample1,3,12650000,20,21.0,42,chr3:12650000
sample1,7,140481000,20,19.5,32,chr7:140481000
sample1,12,52631000,19,27.0,42,chr12:52631000
sample1,2,43712000,19,21.0,41,chr2:43712000
sample1,12,25398000,18,19.5,37,chr12:25398000
sample1,17,37881000,18,20.0,26,chr17:37881000
sample1,2,43655000,18,22.0,41,chr2:43655000
sample1,4,1805000,18,20.5,33,chr4:1805000
sample1,4,1806000,18,21.0,34,chr4:1806000
sample1,6,117647000,18,25.0,43,chr6:117647000
sample1,6,144508000,18,15.0,15,chr6:144508000
sample1,GL000220.1,118000,18,21.0,23,chrGL000220.1:118000
sample1,8,38315000,17,20.0,41,chr8:38315000
sample1,3,12353000,16,36.5,45,chr3:12353000
sample1,3,12633000,16,21.0,32,chr3:12633000
sample1,7,116436000,15,31.0,43,chr7:116436000
sample1,3,12434000,14,21.0,33,chr3:12434000
sample1,7,140500000,14,20.5,42,chr7:140500000
sample1,GL000220.1,112000,14,19.5,43,chrGL000220.1:112000
sample1,GL000220.1,156000,14,19.5,43,chrGL000220.1:156000
sample1,10,123353000,13,20.0,33,chr10:123353000
sample1,19,41725000,13,17.0,36,chr19:41725000
sample1,2,29443000,13,21.0,22,chr2:29443000
sample1,2,43625000,13,32.0,39,chr2:43625000
sample1,2,209110000,13,16.0,24,chr2:209110000
sample1,7,116395000,13,23.0,34,chr7:116395000
sample1,1,115258000,12,21.0,29,chr1:115258000
sample1,19,41736000,12,19.5,29,chr19:41736000
sample1,6,117641000,12,21.0,40,chr6:117641000
sample1,8,127570000,12,16.0,16,chr8:127570000
sample1,3,12647000,11,20.0,23,chr3:12647000
sample1,6,117639000,11,24.0,29,chr6:117639000
sample1,7,55220000,11,21.0,43,chr7:55220000
sample1,7,140487000,11,20.0,42,chr7:140487000
sample1,MT,1000,11,32.0,46,chrMT:1000
sample1,MT,2000,11,25.0,25,chrMT:2000
sample1,12,66451000,10,29.5,39,chr12:66451000
sample1,19,34887000,10,38.5,40,chr19:34887000
sample1,19,41744000,10,31.0,53,chr19:41744000
sample1,19,41748000,10,23.0,44,chr19:41748000
sample1,3,12632000,10,21.5,50,chr3:12632000
sample1,8,38282000,10,29.0,35,chr8:38282000
sample1,2,29436000,9,35.0,35,chr2:29436000
sample1,3,12447000,9,21.0,27,chr3:12447000
sample1,3,128516000,9,19.0,21,chr3:128516000
sample1,11,69466000,8,26.0,37,chr11:69466000
sample1,11,72000000,8,16.0,16,chr11:72000000
sample1,12,25380000,8,15.5,25,chr12:25380000
sample1,12,52632000,8,22.0,41,chr12:52632000
sample1,20,57480000,8,20.5,150,chr20:57480000
sample1,3,128514000,8,28.0,51,chr3:128514000
sample1,7,116412000,8,18.0,29,chr7:116412000
sample1,8,38273000,8,21.0,26,chr8:38273000
sample1,9,35057000,8,19.5,21,chr9:35057000
sample1,12,25378000,7,20.0,22,chr12:25378000
sample1,19,41749000,7,26.0,39,chr19:41749000
sample1,19,41759000,7,23.0,35,chr19:41759000
sample1,3,12421000,7,25.0,38,chr3:12421000
sample1,4,1808000,7,18.0,22,chr4:1808000
sample1,7,140453000,7,31.0,42,chr7:140453000
sample1,7,140508000,7,42.0,42,chr7:140508000
sample1,8,129088000,7,15.0,15,chr8:129088000
sample1,10,43611000,6,22.5,37,chr10:43611000
sample1,10,43615000,6,19.0,25,chr10:43615000
sample1,10,123274000,6,29.5,36,chr10:123274000
sample1,12,52642000,6,28.0,33,chr12:52642000
sample1,19,41726000,6,33.0,40,chr19:41726000
sample1,19,41743000,6,30.5,36,chr19:41743000
sample1,2,43560000,6,17.0,20,chr2:43560000
sample1,2,209113000,6,28.5,47,chr2:209113000
sample1,20,3194000,6,15.0,18,chr20:3194000
sample1,7,55221000,6,29.0,40,chr7:55221000
sample1,7,116423000,6,23.0,39,chr7:116423000
sample1,8,32453000,6,33.0,33,chr8:32453000
sample1,GL000220.1,111000,6,20.0,33,chrGL000220.1:111000
sample1,1,156845000,5,35.0,35,chr1:156845000
sample1,11,69465000,5,22.0,22,chr11:69465000
sample1,15,88576000,5,40.0,41,chr15:88576000
sample1,19,41737000,5,30.0,42,chr19:41737000
sample1,19,49611000,5,18.0,18,chr19:49611000
sample1,19,49993000,5,19.0,19,chr19:49993000
sample1,2,42580000,5,32.0,38,chr2:42580000
sample1,2,43571000,5,19.0,34,chr2:43571000
sample1,20,57478000,5,24.0,29,chr20:57478000
sample1,3,128526000,5,18.0,24,chr3:128526000
sample1,6,117645000,5,21.0,26,chr6:117645000
sample1,7,140534000,5,42.0,42,chr7:140534000
sample1,8,38279000,5,28.0,29,chr8:38279000
sample1,8,38285000,5,20.0,32,chr8:38285000
sample1,MT,14000,5,17.0,19,chrMT:14000
sample1,1,154556000,4,39.5,45,chr1:154556000
sample1,10,43572000,4,19.5,21,chr10:43572000
sample1,10,123239000,4,20.0,23,chr10:123239000
sample1,10,123263000,4,15.0,15,chr10:123263000
sample1,10,123279000,4,17.0,21,chr10:123279000
sample1,11,12539000,4,23.0,23,chr11:12539000
sample1,12,49691000,4,19.5,20,chr12:49691000
sample1,12,89214000,4,19.0,19,chr12:89214000
sample1,14,102300000,4,19.0,19,chr14:102300000
sample1,14,105236000,4,27.0,27,chr14:105236000
sample1,14,105258000,4,32.0,38,chr14:105258000
sample1,17,80202000,4,26.0,26,chr17:80202000
sample1,18,43667000,4,18.0,18,chr18:43667000
sample1,19,893000,4,29.0,33,chr19:893000
sample1,19,13059000,4,18.0,18,chr19:13059000
sample1,19,29055000,4,16.0,16,chr19:29055000
sample1,19,59065000,4,30.5,34,chr19:59065000
sample1,20,57485000,4,18.5,25,chr20:57485000
sample1,3,12211000,4,31.0,31,chr3:12211000
sample1,3,41265000,4,25.5,34,chr3:41265000
sample1,3,96337000,4,29.0,29,chr3:96337000
sample1,3,180949000,4,28.5,32,chr3:180949000
sample1,4,1804000,4,26.5,37,chr4:1804000
sample1,4,89605000,4,28.5,33,chr4:89605000
sample1,7,32960000,4,27.0,27,chr7:32960000
sample1,7,140501000,4,23.5,42,chr7:140501000
sample1,8,32406000,4,22.0,24,chr8:32406000
sample1,8,38854000,4,29.0,29,chr8:38854000
sample1,9,135254000,4,21.5,23,chr9:135254000
sample1,GL000220.1,155000,4,26.0,33,chrGL000220.1:155000
sample1,MT,8000,4,22.0,24,chrMT:8000
sample1,X,2659000,4,18.0,18,chrX:2659000
sample1,X,140212000,4,29.0,33,chrX:140212000
sample1,1,156844000,3,16.0,20,chr1:156844000
sample1,1,162748000,3,22.0,22,chr1:162748000
sample1,10,43595000,3,16.0,20,chr10:43595000
sample1,10,123243000,3,36.0,44,chr10:123243000
sample1,11,532000,3,21.0,48,chr11:532000
sample1,12,52638000,3,23.0,23,chr12:52638000
sample1,14,50329000,3,21.0,21,chr14:50329000
sample1,15,90628000,3,30.0,43,chr15:90628000
sample1,19,39897000,3,16.0,16,chr19:39897000
sample1,2,43726000,3,18.0,24,chr2:43726000
sample1,2,43755000,3,38.0,50,chr2:43755000
sample1,20,57470000,3,32.0,44,chr20:57470000
sample1,21,39609000,3,15.0,15,chr21:39609000
sample1,3,12329000,3,18.0,18,chr3:12329000
sample1,3,12625000,3,31.0,44,chr3:12625000
sample1,3,15780000,3,21.0,21,chr3:15780000
sample1,3,128532000,3,32.0,36,chr3:128532000
sample1,3,178936000,3,26.0,29,chr3:178936000
sample1,5,131552000,3,16.0,16,chr5:131552000
sample1,6,117638000,3,21.0,25,chr6:117638000
sample1,7,2701000,3,28.0,28,chr7:2701000
sample1,7,116414000,3,19.0,20,chr7:116414000
sample1,7,116418000,3,21.0,23,chr7:116418000
sample1,7,116422000,3,22.0,22,chr7:116422000
sample1,7,140476000,3,26.0,28,chr7:140476000
sample1,8,32463000,3,15.0,15,chr8:32463000
sample1,8,38274000,3,20.0,33,chr8:38274000
sample1,8,38275000,3,36.0,38,chr8:38275000
sample1,8,38283000,3,21.0,24,chr8:38283000
sample1,1,3188000,2,18.0,19,chr1:3188000
sample1,1,8581000,2,17.0,17,chr1:8581000
sample1,1,8746000,2,18.0,18,chr1:8746000
sample1,1,43830000,2,20.0,20,chr1:43830000
sample1,1,56947000,2,20.0,20,chr1:56947000
sample1,1,67868000,2,18.0,18,chr1:67868000
sample1,1,93353000,2,19.0,19,chr1:93353000
sample1,1,114220000,2,16.0,16,chr1:114220000
sample1,1,120468000,2,19.5,20,chr1:120468000
sample1,1,120785000,2,20.0,20,chr1:120785000
sample1,1,143966000,2,20.0,20,chr1:143966000
sample1,1,156838000,2,18.0,20,chr1:156838000
sample1,1,180147000,2,18.0,18,chr1:180147000
sample1,1,205111000,2,18.0,18,chr1:205111000
sample1,1,206084000,2,20.0,20,chr1:206084000
sample1,10,43608000,2,15.5,16,chr10:43608000
sample1,10,43609000,2,29.5,38,chr10:43609000
sample1,10,43613000,2,28.0,28,chr10:43613000
sample1,10,70722000,2,17.0,17,chr10:70722000
sample1,10,91773000,2,19.0,19,chr10:91773000
sample1,10,123256000,2,36.0,36,chr10:123256000
sample1,10,123278000,2,39.5,40,chr10:123278000
sample1,11,535000,2,37.0,37,chr11:535000
sample1,11,747000,2,24.0,29,chr11:747000
sample1,11,1547000,2,20.0,20,chr11:1547000
sample1,11,12728000,2,18.0,18,chr11:12728000
sample1,11,69467000,2,23.5,24,chr11:69467000
sample1,11,69468000,2,24.0,24,chr11:69468000
sample1,11,131654000,2,27.0,32,chr11:131654000
sample1,12,6782000,2,20.0,20,chr12:6782000
sample1,12,13119000,2,19.0,19,chr12:13119000
sample1,12,57628000,2,18.0,18,chr12:57628000
sample1,12,108463000,2,18.0,18,chr12:108463000
sample1,12,124826000,2,18.0,18,chr12:124826000
sample1,13,33830000,2,21.0,21,chr13:33830000
sample1,13,96232000,2,24.0,24,chr13:96232000
sample1,13,114143000,2,18.0,18,chr13:114143000
sample1,14,37903000,2,18.0,18,chr14:37903000
sample1,14,58737000,2,20.0,20,chr14:58737000
sample1,14,61997000,2,18.0,18,chr14:61997000
sample1,14,105240000,2,19.0,19,chr14:105240000
sample1,14,105243000,2,31.0,42,chr14:105243000
sample1,14,105261000,2,24.0,24,chr14:105261000
sample1,15,35648000,2,20.0,20,chr15:35648000
sample1,15,66201000,2,20.0,20,chr15:66201000
sample1,15,88692000,2,20.0,20,chr15:88692000
sample1,15,89870000,2,20.0,20,chr15:89870000
sample1,15,90630000,2,16.0,16,chr15:90630000
sample1,15,90632000,2,26.5,38,chr15:90632000
sample1,15,90633000,2,27.0,27,chr15:90633000
sample1,16,16425000,2,20.0,20,chr16:16425000
sample1,16,27487000,2,19.5,20,chr16:27487000
sample1,16,89967000,2,26.0,26,chr16:89967000
sample1,17,27423000,2,28.0,28,chr17:27423000
sample1,17,27905000,2,20.0,20,chr17:27905000
sample1,17,37882000,2,31.0,31,chr17:37882000
sample1,17,54965000,2,23.0,23,chr17:54965000
sample1,17,75503000,2,15.0,15,chr17:75503000
sample1,19,3366000,2,23.5,28,chr19:3366000
sample1,19,9545000,2,20.0,20,chr19:9545000
sample1,19,17988000,2,18.0,18,chr19:17988000
sample1,19,40877000,2,20.0,20,chr19:40877000
sample1,19,41732000,2,23.0,23,chr19:41732000
sample1,19,45514000,2,17.0,17,chr19:45514000
sample1,19,49527000,2,17.5,19,chr19:49527000
sample1,19,49547000,2,17.5,19,chr19:49547000
sample1,2,11953000,2,18.5,19,chr2:11953000
sample1,2,29354000,2,33.0,38,chr2:29354000
sample1,2,29416000,2,26.0,26,chr2:29416000
sample1,2,29432000,2,16.5,17,chr2:29432000
sample1,2,29451000,2,20.0,20,chr2:29451000
sample1,2,43674000,2,24.5,27,chr2:43674000
sample1,2,69746000,2,24.0,24,chr2:69746000
sample1,2,74597000,2,23.0,23,chr2:74597000
sample1,2,133012000,2,27.0,27,chr2:133012000
sample1,2,134932000,2,17.0,18,chr2:134932000
sample1,2,136435000,2,18.0,18,chr2:136435000
sample1,2,173327000,2,20.0,20,chr2:173327000
sample1,2,175001000,2,17.0,17,chr2:175001000
sample1,2,201749000,2,18.0,18,chr2:201749000
sample1,2,232577000,2,22.0,22,chr2:232577000
sample1,20,47898000,2,20.0,20,chr20:47898000
sample1,20,57466000,2,26.0,30,chr20:57466000
sample1,20,57486000,2,16.0,16,chr20:57486000
sample1,21,33719000,2,20.0,20,chr21:33719000
sample1,22,19423000,2,38.0,38,chr22:19423000
sample1,22,50318000,2,23.0,23,chr22:50318000
sample1,3,12393000,2,15.0,15,chr3:12393000
sample1,3,12458000,2,37.5,44,chr3:12458000
sample1,3,12705000,2,31.0,31,chr3:12705000
sample1,3,23859000,2,29.0,29,chr3:23859000
sample1,3,183551000,2,17.0,17,chr3:183551000
sample1,3,196511000,2,17.0,17,chr3:196511000
sample1,4,1803000,2,27.0,33,chr4:1803000
sample1,4,7234000,2,18.5,20,chr4:7234000
sample1,4,143585000,2,15.0,15,chr4:143585000
sample1,5,122241000,2,15.0,15,chr5:122241000
sample1,5,124317000,2,18.0,18,chr5:124317000
sample1,5,167764000,2,21.5,22,chr5:167764000
sample1,6,21594000,2,24.0,32,chr6:21594000
sample1,6,27778000,2,21.0,21,chr6:27778000
sample1,6,108784000,2,19.0,19,chr6:108784000
sample1,6,113248000,2,16.0,16,chr6:113248000
sample1,6,138016000,2,19.0,19,chr6:138016000
sample1,6,151213000,2,18.0,19,chr6:151213000
sample1,6,159208000,2,19.0,19,chr6:159208000
sample1,7,2403000,2,18.0,18,chr7:2403000
sample1,7,5569000,2,40.0,40,chr7:5569000
sample1,7,55223000,2,15.0,15,chr7:55223000
sample1,7,55238000,2,39.0,39,chr7:55238000
sample1,7,55248000,2,24.0,27,chr7:55248000
sample1,7,55260000,2,20.0,20,chr7:55260000
sample1,7,55273000,2,25.0,25,chr7:55273000
sample1,7,75933000,2,21.0,21,chr7:75933000
sample1,7,99710000,2,18.0,18,chr7:99710000
sample1,7,116397000,2,31.0,31,chr7:116397000
sample1,7,116403000,2,16.0,16,chr7:116403000
sample1,7,140423000,2,29.5,32,chr7:140423000
