chrom,start,end,region,n_samples,total_raw_reads,total_dedup_molecules
20,57484000,57484999,chr20:57484000-57484999,3,278829,58623
19,34890000,34890999,chr19:34890000-34890999,3,350786,50326
11,69456000,69456999,chr11:69456000-69456999,3,308751,40638
11,69457000,69457999,chr11:69457000-69457999,3,234079,34212
12,52636000,52636999,chr12:52636000-52636999,2,179067,31908
15,90631000,90631999,chr15:90631000-90631999,3,147318,29072
9,35059000,35059999,chr9:35059000-35059999,3,137153,25640
3,128525000,128525999,chr3:128525000-128525999,3,155699,24321
19,41765000,41765999,chr19:41765000-41765999,3,97333,17326
11,69458000,69458999,chr11:69458000-69458999,3,83105,15609
7,116380000,116380999,chr7:116380000-116380999,3,77987,15405
19,41754000,41754999,chr19:41754000-41754999,3,75523,15023
19,41763000,41763999,chr19:41763000-41763999,3,89426,14521
12,52629000,52629999,chr12:52629000-52629999,3,59102,13871
19,59063000,59063999,chr19:59063000-59063999,3,51797,12647
3,12641000,12641999,chr3:12641000-12641999,3,60178,12280
11,533000,533999,chr11:533000-533999,3,67942,10914
20,57480000,57480999,chr20:57480000-57480999,3,20592,10854
19,41762000,41762999,chr19:41762000-41762999,3,63034,10837
19,41758000,41758999,chr19:41758000-41758999,3,48993,10661
15,66727000,66727999,chr15:66727000-66727999,3,38143,10593
7,116411000,116411999,chr7:116411000-116411999,3,77191,10204
7,116371000,116371999,chr7:116371000-116371999,3,40018,9884
7,116340000,116340999,chr7:116340000-116340999,3,41505,9853
7,55242000,55242999,chr7:55242000-55242999,3,55731,9714
19,41727000,41727999,chr19:41727000-41727999,3,42956,9036
8,38271000,38271999,chr8:38271000-38271999,3,36929,8911
7,140481000,140481999,chr7:140481000-140481999,3,30623,8681
7,140482000,140482999,chr7:140482000-140482999,3,33106,8446
7,116312000,116312999,chr7:116312000-116312999,3,53455,8358
