clip_id,remap_chrom,remap_pos,remap_mapq,remap_cigar,clip_length
sample1|NB501618:163:HWFCNAFXX:1:11305:1497:11984|right|1:91852829|clip=33,11,69457916,60,33M,33
sample1|NB501618:163:HWFCNAFXX:2:11309:2434:17753|left|1:91852865|clip=48,11,69458599,60,6S42M,48
sample1|NB501618:163:HWFCNAFXX:4:21504:7102:15506|right|1:91852932|clip=44,2,43712406,60,44M,44
sample1|NB501618:163:HWFCNAFXX:1:21302:12764:13270|right|1:91852996|clip=41,19,59063642,60,41M,41
sample1|NB501618:163:HWFCNAFXX:3:21405:16588:13845|right|1:154556677|clip=34,2,43712405,60,34M,34
sample1|NB501618:163:HWFCNAFXX:3:21405:16588:13845|right|1:154556677|clip=45,2,43712405,60,45M,45
sample1|NB501618:163:HWFCNAFXX:4:11403:13848:7015|right|1:154556677|clip=34,2,43712405,60,34M,34
sample1|NB501618:163:HWFCNAFXX:4:11403:13848:7015|right|1:154556677|clip=45,2,43712405,60,45M,45
sample1|NB501618:163:HWFCNAFXX:4:11412:25180:3819|left|1:156845242|clip=35,1,156845820,60,35M,35
sample1|NB501618:163:HWFCNAFXX:4:11412:25180:3819|left|1:156845242|clip=35,1,156845820,60,35M,35
sample1|NB501618:163:HWFCNAFXX:4:11610:25823:4203|left|1:156845242|clip=35,1,156845820,60,35M,35
sample1|NB501618:163:HWFCNAFXX:4:11610:25823:4203|left|1:156845242|clip=35,1,156845820,60,35M,35
sample1|NB501618:163:HWFCNAFXX:3:21412:16671:16788|left|2:29354120|clip=38,2,43625113,60,38M,38
sample1|NB501618:163:HWFCNAFXX:1:21306:11066:14397|right|2:29436860|clip=30,2,29446348,60,30M,30
sample1|NB501618:163:HWFCNAFXX:1:11101:4435:8510|right|2:29436937|clip=35,2,29446348,60,35M,35
sample1|NB501618:163:HWFCNAFXX:1:11101:4435:8510|right|2:29436937|clip=35,2,29446348,60,35M,35
sample1|NB501618:163:HWFCNAFXX:1:11310:23964:9859|right|2:29436937|clip=35,2,29446348,60,35M,35
sample1|NB501618:163:HWFCNAFXX:1:11310:23964:9859|right|2:29436937|clip=35,2,29446348,60,35M,35
sample1|NB501618:163:HWFCNAFXX:3:11505:7606:1688|right|2:29436937|clip=35,2,29446348,60,35M,35
sample1|NB501618:163:HWFCNAFXX:3:11505:7606:1688|right|2:29436937|clip=35,2,29446348,60,35M,35
sample1|NB501618:163:HWFCNAFXX:3:11607:11593:13428|right|2:29436937|clip=34,2,29446349,60,34M,34
sample1|NB501618:163:HWFCNAFXX:3:11607:11593:13428|right|2:29436937|clip=35,2,29446348,60,35M,35
sample1|NB501618:163:HWFCNAFXX:3:11503:15454:18663|right|2:29446305|clip=39,2,42522616,60,39M,39
sample1|NB501618:163:HWFCNAFXX:1:21310:2411:12988|right|2:29446308|clip=41,2,42522614,60,41M,41
sample1|NB501618:163:HWFCNAFXX:3:21502:1995:7660|right|2:29446309|clip=42,2,42522613,60,42M,42
sample1|NB501618:163:HWFCNAFXX:4:11404:8956:11940|left|2:33141297|clip=39,2,33141593,0,31M8S,39
sample1|NB501618:163:HWFCNAFXX:3:21404:22509:3022|left|2:33141309|clip=39,11,69455750,60,39M,39
sample1|NB501618:163:HWFCNAFXX:1:11109:5961:17496|left|2:33141315|clip=43,11,69455754,60,34M9S,43
sample1|NB501618:163:HWFCNAFXX:4:11408:11875:19334|left|2:33141318|clip=41,11,69455745,60,41M,41
sample1|NB501618:163:HWFCNAFXX:4:21503:11601:17938|right|2:36782860|clip=38,2,43625113,60,38M,38
sample1|NB501618:163:HWFCNAFXX:1:11102:10521:8471|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:11102:7271:16143|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:11104:12528:5075|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:11110:2960:15528|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:11209:14887:16345|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:11301:4432:11044|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:11303:22220:15872|right|2:42522552|clip=46,2,29446348,60,24M1D22M,46
sample1|NB501618:163:HWFCNAFXX:1:11307:5533:16412|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:21101:6356:4452|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:21103:15507:5356|right|2:42522552|clip=46,2,29446348,60,17M1D29M,46
sample1|NB501618:163:HWFCNAFXX:1:21203:25367:14672|right|2:42522552|clip=47,2,29446348,60,47M,47
sample1|NB501618:163:HWFCNAFXX:1:21204:3162:10477|right|2:42522552|clip=47,2,29446348,60,47M,47
